instances,algo_collision,feature_npc1_avg_control_speed,feature_npc1_max_control_speed,feature_npc2_avg_control_speed,feature_npc2_max_control_speed,feature_npc1_number_lane_changes,feature_npc2_number_lane_changes,feature_ego_max_speed,feature_npc1_max_speed,feature_npc2_max_speed,feature_npc_avg_dist,feature_max_npc_dist,feature_min_npc_dist,feature_type_npc_max_dist,feature_type_npc_min_dist,feature_op_npc_max_dist,feature_op_npc_min_dist,feature_ctrl_speed_npc_max_dist,feature_ctrl_speed_npc_min_dist,feature_speed_npc_min_dist,feature_speed_npc_max_dist,feature_avg_speed_npcs,feature_max_npc_speed,feature_type_npc_max_speed,feature_op_npc_max_speed,feature_ctrl_speed_npc_max_speed,feature_dist_av_npc_max_speed,source
scenario0,0,17.139396931263825,28.884502071565525,16.090566249736572,25.320235477984433,5,6,11.151273220555458,25.76886628314898,23.94195798010067,28.06348613435115,80.23670343592543,2.7869892141709935,2,1,0,2,18.31529748433095,27.347877945890968,22.233081602827486,10.946576682096573,9.064919874104696,25.76886628314898,1,2,25.768988855587338,55.06266942828147,random
scenario1,1,20.023919238920264,27.71265902221944,12.636820152193984,25.01626832655474,6,6,11.650318937038996,20.72795445146163,21.858268591265045,10.77687614405006,23.3236516225243,2.522121075099934,2,2,0,1,20.416736675967147,7.123775189039604,3.1289869631728293,6.330413947607286,8.001325127553347,21.858268591265045,2,0,25.01626832655474,5.48175811361431,random
scenario2,0,11.649422044008125,26.105783160408553,15.864632257999485,26.862455162472344,6,7,11.686374570300659,26.101228055927912,26.848407491649482,21.508107141624013,85.76260670566924,3.799476259724044,2,2,1,0,26.716097296480832,26.862455162472344,20.787861645155257,26.69307241952327,9.333825278270014,26.848407491649482,2,2,1.5965565597366482,40.33281349981011,random
scenario3,0,14.724160967560149,26.81776061344338,13.188711102004802,26.59187489350826,9,7,11.67223337974722,26.756270848887723,26.583438660153085,27.835375257810153,80.77560528253971,3.7707642911552273,2,2,1,2,26.59187489350826,19.81391595540027,19.740104888382717,12.24020122978893,8.963792214608276,26.756270848887723,1,1,25.34423415843445,23.54999738845768,random
scenario4,0,12.620540831313622,27.07368898233873,13.74213257207769,22.087868240765896,8,2,11.71264045658313,24.120042573846693,19.406235748275844,22.494861594090615,48.24727499928974,3.362900627987614,1,2,1,1,2.114675808388581,11.28300176756116,1.7122734299760456,1.1253956924219786,7.27507651021746,24.120042573846693,1,2,27.07368898233873,20.87707906481539,random
scenario5,0,16.730992860414947,29.408275527770307,18.647518872173993,27.524793881925955,7,5,11.660026678958607,29.16147562541099,27.52458902446868,45.01855137277825,123.52043480432307,3.4381691396551157,2,1,1,0,27.19462331444245,24.45386239966395,20.75396657039626,14.412199152094196,10.41798608803536,29.16147562541099,1,0,29.408275527770307,10.759479206265153,random
scenario6,0,14.533664263420727,29.23824165228428,17.656924503396905,28.23321230606847,5,7,11.6803081699527,25.63984777390869,28.227537489539426,34.38572616079075,97.17086965214514,3.5587813096207768,2,1,2,2,21.29921355877855,23.82837707085795,5.8663305086562,11.03995311759284,9.863611937344114,28.227537489539426,2,1,28.23321230606847,60.0142326417728,random
scenario7,0,19.467572811185967,29.865588832382812,16.915112781827833,26.67447378567755,7,6,11.655340304513619,18.72535509630244,26.29096977103289,36.37818445761133,117.7087217316589,2.853559453374452,1,2,2,2,19.981726193285724,14.916291352431596,6.096511254954369,0.0,6.12903970787218,26.29096977103289,2,0,26.30373601782535,11.764458141817338,random
scenario8,0,14.092786766696836,25.1307014436462,15.38494621219703,28.602857504124557,6,4,11.693296610609922,23.1111831986903,25.995708746821318,19.972005445305058,65.16538231758476,3.7224204876195257,1,2,1,0,17.489607995294747,28.602857504124557,25.995708746821318,7.799005551425287,8.294299070910695,25.995708746821318,2,0,28.602857504124557,3.7224204876195257,random
scenario9,0,17.687678032131007,27.008217000735442,17.20099013058883,28.96602752026815,5,5,11.65471586070288,25.98114104407322,28.953977438477203,18.586358833095325,61.01136040456288,3.6854656047029732,2,1,2,2,7.885084315841786,17.892890013958862,2.7865757501528217,28.953977438477203,8.502303620768949,28.953977438477203,2,2,7.885084315841786,61.01136040456288,random
