Row,collision
scenario0,0
scenario1,0
scenario2,0
scenario3,0
scenario4,0
scenario5,0
scenario6,0
scenario7,0
scenario8,0
scenario9,0
scenario10,0
scenario11,1
scenario12,0
scenario13,1
scenario14,1
scenario15,1
scenario16,0
scenario17,1
scenario18,1
scenario19,1
scenario20,1
scenario21,1
scenario22,1
scenario23,0
scenario24,1
scenario25,0
scenario26,1
scenario27,0
scenario28,0
scenario29,0
scenario30,0
scenario31,0
scenario32,1
scenario33,0
scenario34,0
scenario35,1
scenario36,0
scenario37,1
scenario38,1
scenario39,0
scenario40,1
scenario41,0
scenario42,0
scenario43,0
scenario44,0
scenario45,0
scenario46,0
scenario47,0
scenario48,0
scenario49,0
scenario50,0
scenario51,1
scenario52,1
scenario53,0
scenario54,0
scenario55,1
scenario56,1
scenario57,1
scenario58,0
scenario59,0
scenario60,0
scenario61,1
scenario62,0
scenario63,1
scenario64,1
scenario65,1
scenario66,1
scenario67,1
scenario68,1
scenario69,0
scenario70,1
scenario71,0
scenario72,0
scenario73,0
scenario74,1
scenario75,1
scenario76,1
scenario77,1
scenario78,1
scenario79,1
scenario80,0
scenario81,0
scenario82,0
scenario83,0
scenario84,0
scenario85,0
scenario86,0
scenario87,0
scenario88,0
scenario89,0
scenario90,0
scenario91,0
scenario92,0
scenario93,0
scenario94,0
scenario95,0
scenario96,0
scenario97,0
scenario98,0
scenario99,0
scenario100,0
scenario101,0
scenario102,0
scenario103,0
scenario104,0
scenario105,0
scenario106,0
scenario107,0
scenario108,0
scenario109,1
scenario110,1
scenario111,1
scenario112,1
scenario113,1
scenario114,1
scenario115,1
scenario116,1
scenario117,1
scenario118,1
scenario119,1
scenario120,1
scenario121,1
scenario122,1
scenario123,1
scenario124,0
scenario125,1
scenario126,1
scenario127,0
scenario128,1
scenario129,1
scenario130,1
scenario131,0
scenario132,0
scenario133,0
scenario134,0
scenario135,1
scenario136,1
scenario137,0
scenario138,1
scenario139,1
scenario140,1
scenario141,1
scenario142,1
scenario143,1
scenario144,1
scenario145,1
scenario146,1
scenario147,1
scenario148,1
scenario149,1
scenario150,0
scenario151,0
scenario152,0
scenario153,0
scenario154,1
scenario155,0
scenario156,0
scenario157,1
scenario158,1
scenario159,0
scenario160,0
scenario161,1
scenario162,0
scenario163,0
scenario164,1
scenario165,1
scenario166,1
scenario167,1
scenario168,1
scenario169,1
scenario170,0
scenario171,1
scenario172,0
scenario173,0
scenario174,0
scenario175,0
scenario176,0
scenario177,1
scenario178,0
scenario179,0
scenario180,1
scenario181,1
scenario182,1
scenario183,1
scenario184,0
scenario185,1
scenario186,0
scenario187,0
scenario188,1
scenario189,1
scenario190,1
scenario191,1
scenario192,1
scenario193,1
scenario194,0
scenario195,1
scenario196,1
scenario197,0
scenario198,0
scenario199,0
scenario200,1
scenario201,1
scenario202,0
scenario203,1
scenario204,1
scenario205,1
scenario206,1
scenario207,1
scenario208,0
scenario209,0
scenario210,0
scenario211,0
scenario212,0
scenario213,0
scenario214,0
scenario215,0
scenario216,0
