Row,IsBetaEasy
scenario0,0
scenario1,0
scenario2,0
scenario3,0
scenario4,0
scenario5,0
scenario6,0
scenario7,0
scenario8,1
scenario9,0
scenario10,0
scenario11,0
scenario12,0
scenario13,1
scenario14,1
scenario15,0
scenario16,0
scenario17,0
scenario18,1
scenario19,1
scenario20,1
scenario21,1
scenario22,1
scenario23,0
scenario24,0
scenario25,1
scenario26,1
scenario27,1
scenario28,1
scenario29,1
scenario30,1
scenario31,1
scenario32,1
scenario33,0
scenario34,1
scenario35,1
scenario36,0
scenario37,0
scenario38,1
scenario39,0
scenario40,1
scenario41,1
scenario42,1
scenario43,0
scenario44,1
scenario45,0
scenario46,0
scenario47,0
scenario48,1
scenario49,0
scenario50,1
scenario51,1
scenario52,1
scenario53,1
scenario54,1
scenario55,1
scenario56,0
scenario57,0
scenario58,0
scenario59,0
scenario60,0
scenario61,1
scenario62,0
scenario63,0
scenario64,1
scenario65,0
scenario66,0
scenario67,0
scenario68,1
scenario69,0
scenario70,1
scenario71,0
scenario72,1
scenario73,1
scenario74,1
scenario75,0
scenario76,1
scenario77,1
scenario78,0
scenario79,1
scenario80,0
scenario81,0
scenario82,0
scenario83,0
scenario84,0
scenario85,0
scenario86,0
scenario87,0
scenario88,0
scenario89,0
scenario90,0
scenario91,0
scenario92,0
scenario93,0
scenario94,1
scenario95,0
scenario96,0
scenario97,0
scenario98,1
scenario99,0
scenario100,0
scenario101,0
scenario102,0
scenario103,1
scenario104,0
scenario105,0
scenario106,1
scenario107,0
scenario108,1
scenario109,0
scenario110,1
scenario111,1
scenario112,1
scenario113,0
scenario114,1
scenario115,1
scenario116,1
scenario117,0
scenario118,0
scenario119,1
scenario120,1
scenario121,1
scenario122,0
scenario123,1
scenario124,0
scenario125,0
scenario126,1
scenario127,0
scenario128,0
scenario129,1
scenario130,1
scenario131,0
scenario132,1
scenario133,0
scenario134,1
scenario135,1
scenario136,0
scenario137,0
scenario138,1
scenario139,0
scenario140,0
scenario141,0
scenario142,1
scenario143,0
scenario144,1
scenario145,0
scenario146,0
scenario147,1
scenario148,1
scenario149,1
scenario150,1
scenario151,0
scenario152,0
scenario153,1
scenario154,0
scenario155,1
scenario156,1
scenario157,0
scenario158,1
scenario159,0
scenario160,0
scenario161,1
scenario162,0
scenario163,1
scenario164,1
scenario165,0
scenario166,0
scenario167,1
scenario168,0
scenario169,0
scenario170,0
scenario171,1
scenario172,1
scenario173,0
scenario174,0
scenario175,1
scenario176,0
scenario177,1
scenario178,1
scenario179,1
scenario180,1
scenario181,1
scenario182,0
scenario183,1
scenario184,0
scenario185,1
scenario186,0
scenario187,0
scenario188,1
scenario189,0
scenario190,0
scenario191,1
scenario192,0
scenario193,1
scenario194,1
scenario195,1
scenario196,1
scenario197,1
scenario198,0
scenario199,0
scenario200,0
scenario201,1
scenario202,1
scenario203,1
scenario204,1
scenario205,0
scenario206,1
scenario207,0
scenario208,1
scenario209,0
scenario210,0
scenario211,1
scenario212,0
scenario213,0
scenario214,0
scenario215,0
