Row,z_1,z_2
bnd_pnt_1,-0.701223020751339,17.9046795959309
bnd_pnt_2,-0.960489995614189,17.9289793283077
bnd_pnt_3,-3.43520958890409,18.0865314700457
bnd_pnt_4,-5.40071847166147,17.4616744748777
bnd_pnt_5,-6.88726818096481,16.9110431167524
bnd_pnt_6,-7.12075662549833,16.6705389243631
bnd_pnt_7,-8.08002857519189,15.5499997065172
bnd_pnt_8,-8.45577088285801,14.6785196082954
bnd_pnt_9,-8.85594234381605,13.1017000588127
bnd_pnt_10,-9.22540083932992,10.8179950592178
bnd_pnt_11,-9.26163614180235,9.48842526461113
bnd_pnt_12,-8.60051186848037,5.09231583521112
bnd_pnt_13,-7.70114516088844,0.926207183423518
bnd_pnt_14,-7.29486496326395,-0.672817532095875
bnd_pnt_15,-6.65418271045815,-2.95790282794487
bnd_pnt_16,-5.89856107669425,-5.31763162020202
bnd_pnt_17,-5.58341758357112,-6.21772938576722
bnd_pnt_18,-4.40222682694396,-9.14179491574236
bnd_pnt_19,-3.09114989264517,-12.0251047647258
bnd_pnt_20,-2.00411015241762,-14.3576382294256
bnd_pnt_21,-1.58410368135481,-15.1485804389638
bnd_pnt_22,0.0772646353702529,-17.8821379462067
bnd_pnt_23,0.485147593325651,-18.1318076439975
bnd_pnt_24,1.73733189453107,-18.5162173345111
bnd_pnt_25,1.98581559227039,-18.5488323872081
bnd_pnt_26,2.24508256713324,-18.5731321195849
bnd_pnt_27,4.71980216042314,-18.7306842613229
bnd_pnt_28,6.68531104318053,-18.1058272661549
bnd_pnt_29,8.17186075248386,-17.5551959080296
bnd_pnt_30,8.40534919701739,-17.3146917156402
bnd_pnt_31,9.36462114671095,-16.1941524977944
bnd_pnt_32,9.74036345437707,-15.3226723995726
bnd_pnt_33,10.1405349153351,-13.7458528500898
bnd_pnt_34,10.509993410849,-11.4621478504949
bnd_pnt_35,10.5462287133214,-10.1325780558883
bnd_pnt_36,9.88510443999943,-5.7364686264883
bnd_pnt_37,8.98573773240749,-1.5703599747007
bnd_pnt_38,8.57945753478301,0.0286647408186949
bnd_pnt_39,7.93877528197721,2.31375003666769
bnd_pnt_40,7.18315364821331,4.67347882892483
bnd_pnt_41,6.86801015509018,5.57357659449004
bnd_pnt_42,5.68681939846302,8.49764212446518
bnd_pnt_43,4.37574246416423,11.3809519734487
bnd_pnt_44,3.28870272393667,13.7134854381485
bnd_pnt_45,2.86869625287386,14.5044276476867
bnd_pnt_46,1.2073279361488,17.2379851549295
bnd_pnt_47,0.799444978193404,17.4876548527204
bnd_pnt_48,-0.452739323012015,17.8720645432339
bnd_pnt_49,-0.701223020751339,17.9046795959309
