Row,npc1_avg_control_speed,npc1_max_control_speed,npc2_avg_control_speed,npc2_max_control_speed,npc1_number_lane_changes,npc2_number_lane_changes,ego_max_speed,npc1_max_speed,npc2_max_speed,npc_avg_dist,max_npc_dist,min_npc_dist,type_npc_max_dist,type_npc_min_dist,op_npc_max_dist,op_npc_min_dist,ctrl_speed_npc_max_dist,ctrl_speed_npc_min_dist,speed_npc_min_dist,speed_npc_max_dist,avg_speed_npcs,max_npc_speed,type_npc_max_speed,op_npc_max_speed,ctrl_speed_npc_max_speed,dist_av_npc_max_speed
scenario0,10.0631911843971,26.6364775457508,18.321812835831,29.9613014321734,7,5,11.6747787711569,26.6084095602315,28.5952306468959,38.3936013741661,99.9829494826957,3.17555247455615,2,2,2,1,19.6918820215917,17.0735240195546,17.0364533344017,13.541754401745,8.94456038439526,28.5952306468959,2,2,28.6411506324355,32.5663784019335
scenario1,11.5346129132391,22.4898264286,10.4758896843679,20.4631625239539,4,9,11.6443789377989,22.2734588615753,20.4323610897002,26.8169229688011,65.3053836386291,3.69088931147584,1,1,2,2,22.4898264286,16.00899075403,3.69215434178974,10.6381464107526,8.00604783719166,22.2734588615753,1,0,17.3858007934329,46.7648354432546
scenario2,12.6653549108617,20.8739665841807,16.7884526629284,26.4161735988464,5,6,11.6795797683967,20.7945798894552,26.4021401097518,29.078177570991,75.0808697262306,3.88131433612327,2,2,1,0,8.27799329513488,26.4161735988464,21.5526710642134,11.7127571080854,8.94787199891786,26.4021401097518,2,1,15.6561164073457,39.0289321390982
scenario3,9.43809725450938,22.0027696712655,10.9313620911774,25.2622463584852,8,5,11.6806605138937,21.5173406528148,24.8871210379839,34.5257368733606,90.0707560475447,3.77874976647667,1,2,1,2,13.3448789030308,9.79340530167466,9.79267505376577,5.85926636952792,7.31639222629805,24.8871210379839,2,1,25.2622463584852,28.2899882094251
scenario4,10.0631911843971,26.6364775457508,11.248098802782,25.2622463584852,7,5,11.6452201308723,26.6169156898373,22.3725081236972,31.1797266203472,71.9412707621298,3.80365322490884,1,2,1,2,6.38613617058386,0.312366324568855,0.305150269395676,5.10145208882249,7.27371087626116,26.6169156898373,1,0,26.6364775457508,16.5339513996566
scenario5,11.5346129132391,22.4898264286,10.4758896843679,20.4631625239539,4,9,11.6858654758073,22.2734588615753,20.4216624212083,26.429107902614,63.9017774579106,3.69206801448185,1,1,2,2,22.4898264286,16.00899075403,3.69215434178974,10.6381464107526,8.00126141018394,22.2734588615753,1,0,17.3858007934329,45.3251734203945
scenario6,12.6653549108617,20.8739665841807,16.7884526629284,26.4161735988464,5,5,11.5963429128662,20.7080923528235,26.4021401097518,28.3433794172905,76.3743695502991,3.85280019226946,2,2,1,0,8.27799329513488,26.4161735988464,21.5526710642134,11.7127571080854,9.04953310041346,26.4021401097518,2,1,15.6561164073457,37.3678745305215
scenario7,9.43809725450938,22.0027696712655,18.1815011415095,29.9613014321734,8,5,11.6631698612467,21.5173406528148,29.2194480178325,43.2189370971148,100.078147138458,2.61456152444534,2,2,2,1,19.6918820215917,17.0735240195546,17.0363949863987,14.1245348715843,8.91495973345471,29.2194480178325,2,0,29.9613014321734,59.5801594548418
scenario8,9.43809725450938,22.0027696712655,18.1815011415095,29.9613014321734,9,5,11.6818538128833,23.3129727856601,29.2752984781818,42.536162114097,99.7929045940018,2.60685402761188,2,2,2,1,19.6918820215917,17.0735240195546,17.0363949863987,14.1104862925605,8.99723083851353,29.2752984781818,2,0,29.9613014321734,60.6848148871062
scenario9,12.6653549108617,20.8739665841807,16.7884526629284,26.4161735988464,5,5,11.6915352612392,20.8391793314049,26.4021401097518,31.7977214070217,84.5997301183527,3.87795405694399,2,2,0,0,14.9674519876161,26.4161735988464,21.5526710642134,14.9676642285436,9.18258613672768,26.4021401097518,2,1,15.6561164073457,38.3054115566769
scenario10,12.2822118337658,20.8739665841807,16.7884526629284,26.4161735988464,5,5,11.6447513675697,20.7082232122501,26.4021401097518,29.7639353873599,79.2099450034524,3.86214143539572,2,2,1,0,8.27799329513488,26.4161735988464,21.5526710642134,11.7127571080854,9.06097055383948,26.4021401097518,2,1,15.6561164073457,37.7649018682038
